Name,Cost,Set Name,R,High,Med,Low
 Flayer Drone,1BR, Oath of the Gatewatch,U,1.20 ,0.20 ,0.02 
 Flaying Tendrils,1BB, Oath of the Gatewatch,U,2.00 ,0.24 ,0.01 
 General Tazri,4W, Oath of the Gatewatch,M,4.00 ,0.61 ,0.20 
 Gift of Tusks,U, Oath of the Gatewatch,U,1.20 ,0.21 ,0.01 
 Gladehart Cavalry,5GG, Oath of the Gatewatch,R,3.04 ,0.30 ,0.08 
 Goblin Dark-Dwellers,3RR, Oath of the Gatewatch,R,4.00 ,0.52 ,0.12 
 Goblin Freerunner,3R, Oath of the Gatewatch,C,1.00 ,0.14 ,0.01 
 Grasp of Darkness,BB, Oath of the Gatewatch,U,1.90 ,0.56 ,0.05 
 Gravity Negator,3U, Oath of the Gatewatch,C,0.95 ,0.14 ,0.01 
 Grip of the Roil,2U, Oath of the Gatewatch,U,1.00 ,0.22 ,0.01 
 Harvester Troll,3G, Oath of the Gatewatch,U,1.20 ,0.20 ,0.01 
 Havoc Sower,3B, Oath of the Gatewatch,U,1.90 ,0.21 ,0.01 
 Hedron Alignment,2U, Oath of the Gatewatch,R,3.00 ,0.32 ,0.07 
 Hedron Crawler,2, Oath of the Gatewatch,C,1.15 ,0.16 ,0.03 
 Hissing Quagmire,, Oath of the Gatewatch,R,6.00 ,1.94 ,0.94 
 Holdout Settlement,, Oath of the Gatewatch,C,1.00 ,0.15 ,0.01 
 Immobilizer Eldrazi,1R, Oath of the Gatewatch,U,1.20 ,0.21 ,0.01 
 Immolating Glare,1W, Oath of the Gatewatch,U,1.18 ,0.25 ,0.04 
 Inverter of Truth,2BB, Oath of the Gatewatch,M,5.99 ,0.60 ,0.15 
 Iona's Blessing,3W, Oath of the Gatewatch,U,1.90 ,0.21 ,0.01 
 Isolation Zone,2WW, Oath of the Gatewatch,C,0.95 ,0.14 ,0.01 
 Joraga Auxiliary,1GW, Oath of the Gatewatch,U,1.20 ,0.20 ,0.02 
" Jori En, Ruin Diver",1UR, Oath of the Gatewatch,R,2.37 ,0.33 ,0.08 
 Jwar Isle Avenger,4U, Oath of the Gatewatch,C,1.00 ,0.14 ,0.01 
" Kalitas, Traitor of Ghet",2BB, Oath of the Gatewatch,M,31.47 ,8.75 ,6.21 
 Kazuul's Toll Collector,2R, Oath of the Gatewatch,U,1.20 ,0.23 ,0.01 
 Kor Scythemaster,2W, Oath of the Gatewatch,C,1.00 ,0.14 ,0.01 
 Kor Sky Climber,2W, Oath of the Gatewatch,C,0.95 ,0.14 ,0.01 
 Kozilek's Pathfinder,6, Oath of the Gatewatch,C,0.95 ,0.14 ,0.01 
 Kozilek's Return,2R, Oath of the Gatewatch,M,15.15 ,3.53 ,1.89 
 Kozilek's Shrieker,2B, Oath of the Gatewatch,C,1.00 ,0.15 ,0.01 
 Kozilek's Translator,4B, Oath of the Gatewatch,C,1.00 ,0.14 ,0.01 
" Kozilek, the Great Distortion",8CC, Oath of the Gatewatch,M,13.95 ,4.74 ,3.00 
 Lead by Example,1G, Oath of the Gatewatch,C,1.00 ,0.15 ,0.01 
" Linvala, the Preserver",4WW, Oath of the Gatewatch,M,4.00 ,1.12 ,0.48 
 Loam Larva,1G, Oath of the Gatewatch,C,1.00 ,0.15 ,0.01 
 Make a Stand,2W, Oath of the Gatewatch,U,1.00 ,0.21 ,0.03 
 Makindi Aeronaut,1W, Oath of the Gatewatch,C,1.00 ,0.14 ,0.01 
 Malakir Soothsayer,4B, Oath of the Gatewatch,U,1.20 ,0.20 ,0.01 
 Matter Reshaper,2C, Oath of the Gatewatch,R,8.00 ,2.53 ,1.24 
 Maw of Kozilek,3R, Oath of the Gatewatch,C,1.00 ,0.14 ,0.01 
 Meandering River,, Oath of the Gatewatch,U,1.20 ,0.21 ,0.05 
 Mighty Leap,1W, Oath of the Gatewatch,C,1.00 ,0.14 ,0.01 
" Mina and Denn, Wildborn",2RG, Oath of the Gatewatch,R,4.00 ,0.52 ,0.20 
 Mindmelter,1UB, Oath of the Gatewatch,U,1.20 ,0.21 ,0.02 
 Mirrorpool,, Oath of the Gatewatch,M,4.99 ,1.66 ,0.31 
 Munda's Vanguard,4W, Oath of the Gatewatch,R,2.37 ,0.32 ,0.08 
 Natural State,G, Oath of the Gatewatch,C,2.40 ,0.18 ,0.07 
 Needle Spires,, Oath of the Gatewatch,R,5.00 ,0.94 ,0.22 
 Negate,1U, Oath of the Gatewatch,C,1.00 ,0.16 ,0.01 
 Netcaster Spider,2G, Oath of the Gatewatch,C,1.00 ,0.15 ,0.01 
 Nissa's Judgment,4G, Oath of the Gatewatch,U,1.20 ,0.21 ,0.02 
" Nissa, Voice of Zendikar",1GG, Oath of the Gatewatch,M,24.99 ,4.25 ,2.57 
 Null Caller,3B, Oath of the Gatewatch,U,1.90 ,0.21 ,0.01 
 Oath of Chandra,1R, Oath of the Gatewatch,R,2.27 ,0.35 ,0.08 
 Oath of Gideon,2W, Oath of the Gatewatch,R,2.27 ,0.41 ,0.11 
 Oath of Jace,2U, Oath of the Gatewatch,R,4.00 ,0.40 ,0.09 
 Oath of Nissa,G, Oath of the Gatewatch,R,6.00 ,1.26 ,0.61 
 Oblivion Strike,3B, Oath of the Gatewatch,C,1.00 ,0.15 ,0.01 
 Ondu War Cleric,1W, Oath of the Gatewatch,C,1.00 ,0.14 ,0.01 
 Overwhelming Denial,2UU, Oath of the Gatewatch,R,2.37 ,0.35 ,0.05 
 Plant Token,, Oath of the Gatewatch,T,0.99 ,0.19 ,0.09 
 Press into Service,4R, Oath of the Gatewatch,U,1.20 ,0.20 ,0.02 
 Prophet of Distortion,U, Oath of the Gatewatch,U,1.20 ,0.20 ,0.03 
 Pulse of Murasa,2G, Oath of the Gatewatch,C,2.03 ,0.18 ,0.03 
 Pyromancer's Assault,3R, Oath of the Gatewatch,U,1.20 ,0.21 ,0.01 
 Reality Hemorrhage,1R, Oath of the Gatewatch,C,1.00 ,0.15 ,0.01 
 Reality Smasher,4C, Oath of the Gatewatch,R,15.00 ,3.80 ,1.95 
 Reaver Drone,B, Oath of the Gatewatch,U,1.90 ,0.22 ,0.04 
 Reckless Bushwhacker,2R, Oath of the Gatewatch,U,2.19 ,0.95 ,0.25 
 Reflector Mage,1UW, Oath of the Gatewatch,U,3.14 ,0.94 ,0.33 
 Relentless Hunter,1RG, Oath of the Gatewatch,U,1.20 ,0.20 ,0.01 
 Relief Captain,2WW, Oath of the Gatewatch,U,1.20 ,0.22 ,0.01 
 Remorseless Punishment,3BB, Oath of the Gatewatch,R,2.37 ,0.33 ,0.05 
 Roiling Waters,5UU, Oath of the Gatewatch,U,1.20 ,0.20 ,0.01 
 Ruin in Their Wake,1G, Oath of the Gatewatch,U,1.20 ,0.21 ,0.02 
 Ruins of Oran-Rief,, Oath of the Gatewatch,R,2.47 ,0.37 ,0.08 
 Saddleback Lagac,3G, Oath of the Gatewatch,C,1.00 ,0.15 ,0.01 
 Scion Summoner,2G, Oath of the Gatewatch,C,1.00 ,0.15 ,0.01 
 Sea Gate Wreckage,, Oath of the Gatewatch,R,5.13 ,0.50 ,0.11 
 Searing Light,W, Oath of the Gatewatch,C,1.00 ,0.14 ,0.01 
 Seed Guardian,2GG, Oath of the Gatewatch,U,1.20 ,0.20 ,0.02 
 Seer's Lantern,3, Oath of the Gatewatch,C,1.00 ,0.15 ,0.01 
 Shoulder to Shoulder,2W, Oath of the Gatewatch,C,1.00 ,0.15 ,0.01 
 Sifter of Skulls,3B, Oath of the Gatewatch,R,2.37 ,0.34 ,0.08 
 Sky Scourer,1B, Oath of the Gatewatch,C,1.00 ,0.15 ,0.01 
 Slaughter Drone,1B, Oath of the Gatewatch,C,1.00 ,0.14 ,0.01 
 Slip Through Space,U, Oath of the Gatewatch,C,1.00 ,0.16 ,0.05 
 Sparkmage's Gambit,1R, Oath of the Gatewatch,C,1.00 ,0.14 ,0.01 
 Spatial Contortion,1C, Oath of the Gatewatch,U,1.18 ,0.25 ,0.03 
 Spawnbinder Mage,3W, Oath of the Gatewatch,C,1.00 ,0.14 ,0.01 
 Sphinx of the Final Word,5UU, Oath of the Gatewatch,M,75.00 ,1.34 ,0.44 
 Stalking Drone,1G, Oath of the Gatewatch,C,1.00 ,0.15 ,0.01 
 Steppe Glider,4W, Oath of the Gatewatch,U,1.20 ,0.20 ,0.01 
 Stone Haven Outfitter,1W, Oath of the Gatewatch,R,2.37 ,0.37 ,0.09 
 Stoneforge Acolyte,W, Oath of the Gatewatch,U,1.20 ,0.22 ,0.01 
 Stoneforge Masterwork,1, Oath of the Gatewatch,R,2.49 ,0.87 ,0.17 
 Stormchaser Mage,UR, Oath of the Gatewatch,U,1.67 ,0.44 ,0.14 
 Strider Harness,3, Oath of the Gatewatch,U,1.90 ,0.20 ,0.01 
 Submerged Boneyard,, Oath of the Gatewatch,U,1.20 ,0.20 ,0.05 
 Sweep Away,2U, Oath of the Gatewatch,C,1.00 ,0.14 ,0.01 
 Sylvan Advocate,1G, Oath of the Gatewatch,R,7.00 ,0.68 ,0.19 
 Tajuru Pathwarden,4G, Oath of the Gatewatch,C,1.00 ,0.15 ,0.01 
 Tar Snare,2B, Oath of the Gatewatch,C,1.00 ,0.14 ,0.01 
 Tears of Valakut,1R, Oath of the Gatewatch,U,1.18 ,0.21 ,0.01 
 Thought Harvester,3U, Oath of the Gatewatch,U,1.20 ,0.22 ,0.03 
 Thought-Knot Seer,3C, Oath of the Gatewatch,R,20.26 ,8.17 ,5.50 
 Timber Gorge,, Oath of the Gatewatch,U,1.20 ,0.21 ,0.05 
 Tranquil Expanse,, Oath of the Gatewatch,U,1.90 ,0.21 ,0.04 
 Tyrant of Valakut,5RR, Oath of the Gatewatch,R,2.37 ,0.31 ,0.05 
 Umara Entangler,1U, Oath of the Gatewatch,C,1.00 ,0.14 ,0.01 
 Unity of Purpose,3U, Oath of the Gatewatch,U,1.20 ,0.22 ,0.02 
 Unknown Shores,, Oath of the Gatewatch,C,1.00 ,0.15 ,0.01 
 Unnatural Endurance,B, Oath of the Gatewatch,C,1.00 ,0.14 ,0.01 
 Untamed Hunger,2B, Oath of the Gatewatch,C,1.00 ,0.14 ,0.01 
 Vampire Envoy,2B, Oath of the Gatewatch,C,1.00 ,0.15 ,0.01 
 Vile Redeemer,2G, Oath of the Gatewatch,R,2.37 ,0.34 ,0.05 
 Vines of the Recluse,G, Oath of the Gatewatch,C,1.00 ,0.14 ,0.01 
 Visions of Brutality,1B, Oath of the Gatewatch,U,1.20 ,0.22 ,0.03 
 Void Grafter,1GU, Oath of the Gatewatch,U,1.20 ,0.23 ,0.03 
 Void Shatter,1UU, Oath of the Gatewatch,U,1.66 ,0.39 ,0.08 
 Walker of the Wastes,4C, Oath of the Gatewatch,U,1.33 ,0.22 ,0.02 
 Wall of Resurgence,2W, Oath of the Gatewatch,U,1.20 ,0.24 ,0.03 
 Wandering Fumarole,, Oath of the Gatewatch,R,11.00 ,1.75 ,0.62 
 Warden of Geometries,4, Oath of the Gatewatch,C,1.00 ,0.15 ,0.03 
 Warping Wail,1C, Oath of the Gatewatch,U,2.00 ,0.48 ,0.20 
 Wastes,, Oath of the Gatewatch,C,26.22 ,1.23 ,0.75 
 Wastes (183 Full Art),, Oath of the Gatewatch,C,1.20 ,0.35 ,0.14 
 Wastes (184 Full Art),, Oath of the Gatewatch,C,1.99 ,0.42 ,0.22 
 Wastes (184),, Oath of the Gatewatch,C,4.77 ,0.83 ,0.39 
 Weapons Trainer,RW, Oath of the Gatewatch,U,1.20 ,0.20 ,0.02 
 Witness the End,3B, Oath of the Gatewatch,C,1.00 ,0.15 ,0.01 
 World Breaker,6G, Oath of the Gatewatch,M,13.00 ,2.93 ,1.50 
 Zada's Commando,1R, Oath of the Gatewatch,C,1.00 ,0.15 ,0.01 
 Zendikar Resurgent,5GG, Oath of the Gatewatch,R,7.99 ,2.06 ,1.00 
 Zombie Token,, Oath of the Gatewatch,T,0.99 ,0.15 ,0.03 
 Zulaport Chainmage,3B, Oath of the Gatewatch,C,1.00 ,0.15 ,0.01 
